target_pos,cue_pos,condition ,corrAns,resp.keys,no. of errors,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.started,intro.stopped,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,12.37430782,14.3756669,14.35806029,None,space,2.06901527,14.35806029,None,,,,,,,,,,,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,0.5,valid,right ,right,0,0.330473034,0,0,0,1,,,,,,,,,16.49123806,None,16.95878414,17.1745206,17.15786905,None,right,0.330473034,17.15786905,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,-0.5,invalid,right ,right,0,0.38136245,0,1,1,2,,,,,,,,,17.50827888,None,17.99148441,18.19211324,18.19211324,None,right,0.38136245,18.19211324,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,0.5,invalid,left,left,0,0.370693882,0,2,2,3,,,,,,,,,18.5915962,None,19.07563089,19.27495872,19.27495872,None,left,0.370693882,19.27495872,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left ,left,0,0.284487433,0,3,3,9,,,,,,,,,19.67480105,None,20.15809346,20.3587935,20.3587935,None,left,0.284487433,20.3587935,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left,left,0,0.290700901,0,4,4,4,,,,,,,,,20.67545274,None,21.15829235,21.35855825,21.35855825,None,left,0.290700901,21.35855825,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,0.5,invalid,left ,left,0,0.445169645,0,5,5,6,,,,,,,,,21.67484192,None,22.15890094,22.35893259,22.35893259,None,left,0.445169645,22.35893259,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,-0.5,invalid,right ,right,0,0.478229805,0,6,6,8,,,,,,,,,22.82515847,None,23.30821776,23.50789598,23.50789598,None,right,0.478229805,23.50789598,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left ,left,0,0.282128083,0,7,7,5,,,,,,,,,24.00855233,None,24.49166403,24.69251207,24.69251207,None,left,0.282128083,24.69251207,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left,left,0,0.31738422,0,8,8,0,,,,,,,,,24.99205276,None,25.47439199,25.67575494,25.67575494,None,left,0.31738422,25.67575494,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,0.5,valid,right ,right,0,0.252381738,0,9,9,7,,,,,,,,,26.02519412,None,26.50977903,26.70852283,26.70852283,None,right,0.252381738,26.70852283,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,0.5,invalid,left ,left,0,0.369229252,1,0,10,6,,,,,,,,,26.99209067,None,27.47544767,27.67680006,27.67680006,None,left,0.369229252,27.67680006,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left ,left,0,0.29598689,1,1,11,5,,,,,,,,,28.07564149,None,28.55918147,28.75989177,28.75989177,None,left,0.29598689,28.75989177,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,0.5,invalid,left,left,0,0.336474132,1,2,12,3,,,,,,,,,29.07539109,None,29.55957473,29.75947054,29.75947054,None,left,0.336474132,29.75947054,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,0.5,valid,right ,right,0,0.345211373,1,3,13,7,,,,,,,,,30.12600923,None,30.6096138,30.80949223,30.80949223,None,right,0.345211373,30.80949223,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left,left,0,0.307619854,1,4,14,4,,,,,,,,,31.17522636,None,31.6582937,31.85922777,31.85922777,None,left,0.307619854,31.85922777,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,-0.5,invalid,right ,right,0,0.383936245,1,5,15,8,,,,,,,,,32.19253095,None,32.6755213,32.8758695,32.8758695,None,right,0.383936245,32.8758695,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left,left,0,0.279390592,1,6,16,0,,,,,,,,,33.27546305,None,33.76013107,33.97639488,33.96022015,None,left,0.279390592,33.96022015,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,0.5,valid,right ,right,0,0.27931182,1,7,17,1,,,,,,,,,34.25886553,None,34.74212324,34.9434573,34.9434573,None,right,0.27931182,34.9434573,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,-0.5,invalid,right ,right,0,0.399523801,1,8,18,2,,,,,,,,,35.24252423,None,35.72628563,35.94303869,35.92705625,None,right,0.399523801,35.92705625,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left ,left,0,0.299271323,1,9,19,9,,,,,,,,,36.34226651,None,36.82616743,37.02627412,37.02627412,None,left,0.299271323,37.02627412,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,0.5,invalid,left ,left,0,0.350049358,2,0,20,6,,,,,,,,,37.34258663,None,37.82708218,38.02654807,38.02654807,None,left,0.350049358,38.02654807,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,-0.5,valid,left,left,0,0.293876498,2,1,21,0,,,,,,,,,38.39265569,None,38.87650154,39.07685734,39.07685734,None,left,0.293876498,39.07685734,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
-0.5,0.5,invalid,left,left,0,0.344381209,2,2,22,3,,,,,,,,,39.39222706,None,39.87680485,40.07598059,40.07598059,None,left,0.344381209,40.07598059,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
0.5,-0.5,invalid,right ,right,0,0.341815802,2,3,23,8,,,,,,,,,40.44351289,None,40.92610848,41.12641338,41.12641338,None,right,0.341815802,41.12641338,None,A,1,2021_Apr_09_1024,Posner_Cueing_Task,2020.2.10,59.67227414
