target_pos,cue_pos,conditions,corrAns,resp.keys,no. of errors,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.started,intro.stopped,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,14.15069702,16.15036424,16.11785149,None,space,4.122555337,16.11785149,None,,,,,,,,,,,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,0.5,valid,right ,right,0,0.307234302,0,0,0,7,,,,,,,,,20.30227096,None,20.76744089,20.96821849,20.96821849,None,right,0.307234302,20.96821849,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,0.5,invalid ,left ,left,0,0.396311513,0,1,1,6,,,,,,,,,21.3017909,None,21.78571084,21.9854939,21.9854939,None,left,0.396311513,21.9854939,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,-0.5,invalid ,right ,right,0,0.363263314,0,2,2,2,,,,,,,,,22.40192812,None,22.88525329,23.08455593,23.08455593,None,right,0.363263314,23.08455593,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left ,left,0,0.322568275,0,3,3,9,,,,,,,,,23.46891971,None,23.95250284,24.16913249,24.15112449,None,left,0.322568275,24.15112449,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left,left,0,0.301570231,0,4,4,0,,,,,,,,,24.50208685,None,24.98479516,25.18511607,25.18511607,None,left,0.301570231,25.18511607,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,0.5,valid,right ,right,0,0.30924163,0,5,5,1,,,,,,,,,25.51892876,None,26.00231616,26.20166631,26.20166631,None,right,0.30924163,26.20166631,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left,left,0,0.315975618,0,6,6,4,,,,,,,,,26.53513729,None,27.01864227,27.21960015,27.21960015,None,left,0.315975618,27.21960015,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,0.5,invalid ,left,left,0,0.344186498,0,7,7,3,,,,,,,,,27.56869783,None,28.05199712,28.25258291,28.25258291,None,left,0.344186498,28.25258291,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,-0.5,invalid ,right ,right,0,0.48333559,0,8,8,8,,,,,,,,,28.61849982,None,29.10277123,29.30241796,29.30241796,None,right,0.48333559,29.30241796,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left ,left,0,0.306334237,0,9,9,5,,,,,,,,,29.80228475,None,30.285676,30.48522094,30.48522094,None,left,0.306334237,30.48522094,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
0.5,-0.5,invalid ,right ,right,0,0.462440333,1,0,10,8,,,,,,,,,30.81883515,None,31.30260102,31.50202953,31.50202953,None,right,0.462440333,31.50202953,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,-0.5,valid,left ,left,0,0.416605552,1,1,11,9,,,,,,,,,31.98578212,None,32.46960692,32.66900889,32.66900889,None,left,0.416605552,32.66900889,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
-0.5,0.5,invalid ,left,left,0,0.412819955,1,2,12,3,,,,,,,,,33.10212441,None,33.58659295,33.78648481,33.78648481,None,left,0.412819955,33.78648481,None,B,1,2021_Apr_09_1048,Posner_Cueing_Task,2020.2.10,59.84289397
