target_pos,cue_pos,conditions ,corrAns,resp.keys,no. of errors,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.started,intro.stopped,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,23.83109299,25.8311074,25.81399731,None,space,18.79942262,25.81399731,None,,,,,,,,,,,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,0.5,invalid,left,left,0,0.59706476,0,0,0,3,,,,,,,,,44.66462883,None,45.13193357,45.33156488,45.33156488,None,left,0.59706476,45.33156488,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
0.5,-0.5,invalid,right ,right,0,0.286410256,0,1,1,8,,,,,,,,,45.94788625,None,46.4313682,46.63129561,46.63129561,None,right,0.286410256,46.63129561,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,-0.5,valid,left ,left,0,0.362662377,0,2,2,5,,,,,,,,,46.94767964,None,47.43256943,47.6491157,47.63193798,None,left,0.362662377,47.63193798,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
0.5,0.5,valid,right ,right,0,0.30068337,0,3,3,7,,,,,,,,,48.01598621,None,48.49923203,48.69971896,48.69971896,None,right,0.30068337,48.69971896,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
0.5,0.5,valid,right ,right,0,0.281337317,0,4,4,1,,,,,,,,,49.03143226,None,49.51523968,49.71510389,49.71510389,None,right,0.281337317,49.71510389,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,0.5,valid,left ,left,0,0.325035305,0,5,5,6,,,,,,,,,50.01476723,None,50.49895373,50.69947656,50.69947656,None,left,0.325035305,50.69947656,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,-0.5,valid,left ,left,0,0.31851373,0,6,6,9,,,,,,,,,51.04883517,None,51.53279942,51.73281009,51.73281009,None,left,0.31851373,51.73281009,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,-0.5,valid,left,left,0,0.306156455,0,7,7,4,,,,,,,,,52.08233126,None,52.56596937,52.76613566,52.76613566,None,left,0.306156455,52.76613566,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,-0.5,valid,left,left,0,0.323357018,0,8,8,0,,,,,,,,,53.09946021,None,53.58224916,53.78303335,53.78303335,None,left,0.323357018,53.78303335,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
