target_pos,cue_pos,condition,corrAns,resp.keys,no. of errors,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.started,intro.stopped,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,17.10415773,19.10449748,19.0716922,None,space,14.74040114,19.0716922,None,,,,,,,,,,,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left,left,0,0.642666678,0,0,0,4,,,,,,,,,33.85599873,None,34.33766,34.5393259,34.5393259,None,left,0.642666678,34.5393259,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left ,left,0,0.584368662,0,1,1,5,,,,,,,,,35.20603384,None,35.68957455,35.88940967,35.88940967,None,left,0.584368662,35.88940967,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,0.5,valid,right ,right,0,0.522166965,0,2,2,7,,,,,,,,,36.50491233,None,36.98961921,37.18965752,37.18965752,None,right,0.522166965,37.18965752,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left,left,0,0.443842137,0,3,3,0,,,,,,,,,37.73914004,None,38.22310856,38.42298699,38.42298699,None,left,0.443842137,38.42298699,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left ,left,0,0.462555842,0,4,4,9,,,,,,,,,38.88891618,None,39.37269068,39.57317548,39.57317548,None,left,0.462555842,39.57317548,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,0.5,valid,right ,right,0,0.484872147,0,5,5,1,,,,,,,,,40.05653163,None,40.53982627,40.73970131,40.73970131,None,right,0.484872147,40.73970131,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,0.5,invalid,left,left,0,0.560170533,0,6,6,3,,,,,,,,,41.25667128,None,41.73982746,41.9394934,41.9394934,None,left,0.560170533,41.9394934,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,-0.5,invalid,right ,right,0,0.654110635,0,7,7,8,,,,,,,,,42.52333957,None,43.00669645,43.2064798,43.2064798,None,right,0.654110635,43.2064798,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,-0.5,invalid,right ,right,0,0.549441465,0,8,8,2,,,,,,,,,43.88991,None,44.3728325,44.57318432,44.57318432,None,right,0.549441465,44.57318432,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,0.5,invalid,left ,left,0,0.500000115,0,9,9,6,,,,,,,,,45.14005531,None,45.62301469,45.82347117,45.82347117,None,left,0.500000115,45.82347117,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left ,left,0,0.507197227,1,0,10,9,,,,,,,,,46.35687586,None,46.84021647,47.04019502,47.04019502,None,left,0.507197227,47.04019502,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,-0.5,invalid,right ,right,0,0.480197985,1,1,11,8,,,,,,,,,47.57357861,None,48.05681699,48.25717274,48.25717274,None,right,0.480197985,48.25717274,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left,left,0,0.426966977,1,2,12,4,,,,,,,,,48.75712768,None,49.24060587,49.44032929,49.44032929,None,left,0.426966977,49.44032929,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,0.5,valid,right ,right,0,0.411239185,1,3,13,7,,,,,,,,,49.89059885,None,50.37384609,50.57387586,50.57387586,None,right,0.411239185,50.57387586,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,0.5,valid,right ,right,0,0.474563685,1,4,14,1,,,,,,,,,51.00704005,None,51.49049805,51.69063872,51.69063872,None,right,0.474563685,51.69063872,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left ,left,0,0.461122425,1,5,15,5,,,,,,,,,52.19068883,None,52.67399,52.87406131,52.87406131,None,left,0.461122425,52.87406131,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,0.5,invalid,left,left,0,0.732503295,1,6,16,3,,,,,,,,,53.35733362,None,53.84085634,54.04078472,54.04078472,None,left,0.732503295,54.04078472,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,0.5,invalid,left ,left,0,0.795911928,1,7,17,6,,,,,,,,,54.79018396,None,55.27375212,55.47412697,55.47412697,None,left,0.795911928,55.47412697,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,-0.5,invalid,right ,right,0,0.518559418,1,8,18,2,,,,,,,,,56.29064348,None,56.77451469,56.97428778,56.97428778,None,right,0.518559418,56.97428778,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left,left,0,0.443092043,1,9,19,0,,,,,,,,,57.52232623,None,58.00782023,58.22384472,58.20784525,None,left,0.443092043,58.20784525,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left,left,0,0.546297255,2,0,20,4,,,,,,,,,58.67354146,None,59.15781049,59.35750372,59.35750372,None,left,0.546297255,59.35750372,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,-0.5,invalid,right ,right,0,0.495864085,2,1,21,2,,,,,,,,,59.92458601,None,60.40737831,60.60787999,60.60787999,None,right,0.495864085,60.60787999,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,0.5,valid,right ,right,0,0.584622937,2,2,22,1,,,,,,,,,61.12480999,None,61.607802,61.80798217,61.80798217,None,right,0.584622937,61.80798217,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left ,left,0,0.522893275,2,3,23,9,,,,,,,,,62.4246279,None,62.90763481,63.10778632,63.10778632,None,left,0.522893275,63.10778632,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left ,left,0,0.518082222,2,4,24,5,,,,,,,,,63.65826948,None,64.14100486,64.34141234,64.34141234,None,left,0.518082222,64.34141234,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,0.5,valid,right ,right,0,0.42171083,2,5,25,7,,,,,,,,,64.89158177,None,65.37479985,65.57486818,65.57486818,None,right,0.42171083,65.57486818,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
