target_pos,cue_pos,conditions,corrAns,resp.keys,no. of errors,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.started,intro.stopped,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,14.38958368,16.38821477,16.38821477,None,space,12.75770246,16.38821477,None,,,,,,,,,,,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
0.5,-0.5,invalid,right ,right,0,0.484283427,0,0,0,2,,,,,,,,,29.20612835,None,29.67474703,29.87473454,29.87473454,None,right,0.484283427,29.87473454,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,0.5,invalid,left,left,0,0.361778343,0,1,1,3,,,,,,,,,30.39112844,None,30.87349722,31.07417146,31.07417146,None,left,0.361778343,31.07417146,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
0.5,0.5,valid,right ,right,0,0.344811358,0,2,2,7,,,,,,,,,31.45806669,None,31.94124564,32.14115281,32.14115281,None,right,0.344811358,32.14115281,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
0.5,-0.5,invalid,right ,right,0,0.37848311,0,3,3,8,,,,,,,,,32.50813966,None,32.99143348,33.19137998,33.19137998,None,right,0.37848311,33.19137998,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,-0.5,valid,left,left,0,0.344367348,0,4,4,0,,,,,,,,,33.59047016,None,34.07490579,34.27360519,34.27360519,None,left,0.344367348,34.27360519,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,0.5,invalid,left ,left,0,0.41848797,0,5,5,6,,,,,,,,,34.6414143,None,35.12464445,35.32441722,35.32441722,None,left,0.41848797,35.32441722,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
0.5,0.5,valid,right ,right,0,0.370172195,0,6,6,1,,,,,,,,,35.77482738,None,36.25852013,36.45872823,36.45872823,None,right,0.370172195,36.45872823,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,-0.5,valid,left ,left,0,0.314286276,0,7,7,5,,,,,,,,,36.85750334,None,37.34183093,37.54158199,37.54158199,None,left,0.314286276,37.54158199,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,-0.5,valid,left ,left,0,0.417199765,0,8,8,9,,,,,,,,,37.87416864,None,38.3585484,38.55847208,38.55847208,None,left,0.417199765,38.55847208,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
